Timestamp, vel x, vel y, vel z
1.5659686074706166e+18,1.101468037814e-02,4.385570436716e-02,-7.860830053687e-03
1.5659686076112164e+18,1.472510490566e-02,5.296725407243e-02,-5.938881076872e-03
1.5659686076305935e+18,1.503161713481e-02,5.532135069370e-02,-3.441626206040e-03
1.5659686076509522e+18,1.953267864883e-02,5.666460096836e-02,-2.078536897898e-03
1.5659686077308751e+18,2.554697170854e-02,5.601030588150e-02,4.608047194779e-03
1.5659686078935457e+18,4.595041647553e-02,5.450711771846e-02,-4.953864030540e-03
1.5659686081505974e+18,6.291753053665e-02,6.076680868864e-02,-2.906945999712e-03
1.565968608463905e+18,6.353759765625e-02,6.003471463919e-02,9.907018393278e-04
1.5659686084706227e+18,6.608466058969e-02,6.193790957332e-02,9.347847662866e-04
1.5659686084934956e+18,6.792218238115e-02,6.490014493465e-02,5.521802231669e-04
1.5659686085105526e+18,6.700806319714e-02,6.527909636497e-02,-7.613655179739e-04
1.5659686085311747e+18,6.350995600224e-02,6.526462733746e-02,-1.921292394400e-03
1.5659686085510592e+18,5.967727676034e-02,6.681308150291e-02,-4.780539311469e-03
1.565968608570636e+18,5.950739979744e-02,6.749426573515e-02,-5.864006467164e-03
1.5659686085955988e+18,5.907347053289e-02,6.767839193344e-02,-5.834599025548e-03
1.565968608610609e+18,5.655321851373e-02,6.851792335510e-02,-5.564483813941e-03
1.5659686086306184e+18,5.609543621540e-02,6.945155560970e-02,-2.662212587893e-03
1.5659686086529795e+18,5.515804141760e-02,6.698517501354e-02,1.094201579690e-04
1.565968608670631e+18,5.447215586901e-02,6.358826160431e-02,1.809960231185e-03
1.5659686086934963e+18,5.550538003445e-02,6.371548771858e-02,-1.589310355484e-03
1.5659686087106245e+18,5.495175719261e-02,6.519429385662e-02,-6.615321151912e-03
1.565968608730623e+18,5.425667017698e-02,6.376124918461e-02,-8.373606950045e-03
1.5659686087505523e+18,5.412385240197e-02,6.224040687084e-02,-1.448307558894e-02
1.5659686087734546e+18,5.681619420648e-02,6.198038905859e-02,-1.690743118525e-02
1.565968608793539e+18,5.691661313176e-02,6.009259074926e-02,-1.801036670804e-02
1.5659686088106217e+18,5.668754875660e-02,5.630285292864e-02,-1.875386200845e-02
1.5659686088306158e+18,5.402668938041e-02,5.636716634035e-02,-2.109880559146e-02
1.5659686088533373e+18,5.191530287266e-02,5.849323049188e-02,-1.848172396421e-02
1.5659686088706383e+18,5.080224201083e-02,6.055848300457e-02,-1.892404444516e-02
1.5659686088934984e+18,5.033218860626e-02,6.067130342126e-02,-1.800811849535e-02
1.5659686089107587e+18,4.960189014673e-02,5.977018550038e-02,-1.532389223576e-02
1.5659686089306086e+18,5.098871886730e-02,5.930474400520e-02,-1.307657733560e-02
1.5659686089506166e+18,5.082540959120e-02,5.877709388733e-02,-1.395132206380e-02
1.5659686089706988e+18,4.968038946390e-02,5.581400170922e-02,-1.235261838883e-02
1.5659686089935432e+18,4.842437058687e-02,5.286282300949e-02,-1.456040330231e-02
1.5659686090106301e+18,5.043973028660e-02,4.983517527580e-02,-1.263104006648e-02
1.5659686090308383e+18,4.952008277178e-02,4.843785986304e-02,-1.126592420042e-02
1.5659686090508495e+18,4.927398636937e-02,4.698201268911e-02,-1.324791274965e-02
1.5659686090708234e+18,5.012237280607e-02,4.541298002005e-02,-1.853636093438e-02
1.5659686090935496e+18,5.233558267355e-02,4.394783824682e-02,-2.087494358420e-02
1.5659686091108308e+18,5.208060517907e-02,4.326523095369e-02,-2.054448239505e-02
1.565968609130639e+18,5.151478201151e-02,4.369902610779e-02,-2.238057740033e-02
1.5659686091508198e+18,4.747005552053e-02,4.155709967017e-02,-2.751605957747e-02
1.5659686091706417e+18,4.677262529731e-02,3.852605074644e-02,-2.888009883463e-02
1.5659686091935373e+18,4.856471717358e-02,3.595166280866e-02,-3.057729639113e-02
1.565968609210615e+18,5.183466896415e-02,3.228063508868e-02,-3.244855254889e-02
1.5659686092308132e+18,5.290085822344e-02,2.947480231524e-02,-3.461241722107e-02
1.5659686092508516e+18,5.249214917421e-02,2.836579270661e-02,-3.302988782525e-02
1.5659686092706086e+18,5.536251515150e-02,2.914628386497e-02,-3.368412703276e-02
1.5659686092935148e+18,5.900617688894e-02,2.867724001408e-02,-3.367478400469e-02
1.5659686093106831e+18,6.100176647305e-02,2.881902456284e-02,-3.658472374082e-02
1.5659686093306158e+18,6.347360461950e-02,2.682986855507e-02,-3.401558473706e-02
1.5659686093506168e+18,6.356342881918e-02,2.719831094146e-02,-3.107368573546e-02
1.565968609371273e+18,6.510666757822e-02,2.971947193146e-02,-2.976354397833e-02
1.5659686093935055e+18,6.625582277775e-02,3.086074441671e-02,-3.311755880713e-02
1.5659686094106179e+18,6.823690235615e-02,2.947127632797e-02,-3.372883796692e-02
1.5659686094306217e+18,6.852857768536e-02,2.999669685960e-02,-3.213628008962e-02
1.5659686094508296e+18,7.026936113834e-02,3.146681189537e-02,-3.288773447275e-02
1.5659686094705787e+18,7.394050061703e-02,3.307600691915e-02,-3.032313659787e-02
1.5659686094935145e+18,7.872064411640e-02,3.469770401716e-02,-2.902707643807e-02
1.565968609510581e+18,8.140583336353e-02,3.180364891887e-02,-2.724665775895e-02
1.565968609530634e+18,8.330715447664e-02,3.247141465545e-02,-2.809764631093e-02
1.5659686095508106e+18,8.426994830370e-02,3.379249200225e-02,-3.165962174535e-02
1.5659686095705935e+18,8.504082262516e-02,3.699878230691e-02,-3.516643866897e-02
1.565968609593652e+18,8.597975224257e-02,3.845652937889e-02,-3.625240549445e-02
1.5659686096107794e+18,8.543452620506e-02,3.862630575895e-02,-3.445826470852e-02
1.565968609630619e+18,8.350735902786e-02,3.556175529957e-02,-3.724189847708e-02
1.565968609651557e+18,8.303668349981e-02,3.528179973364e-02,-3.882149979472e-02
1.565968609670639e+18,8.254732936621e-02,3.448523208499e-02,-3.566756099463e-02
1.5659686096935409e+18,8.318310976028e-02,3.547735512257e-02,-3.439232334495e-02
1.5659686097106222e+18,8.525608479977e-02,3.574829176068e-02,-3.228811547160e-02
1.5659686097305738e+18,8.383718132973e-02,3.369180485606e-02,-3.117170929909e-02
1.5659686097506696e+18,8.220240473747e-02,3.084928169847e-02,-2.879875525832e-02
1.5659686097706194e+18,7.906798273325e-02,2.945043519139e-02,-2.838372811675e-02
1.5659686097961682e+18,7.847337424755e-02,2.915890887380e-02,-2.758011966944e-02
1.565968609810996e+18,8.006854355335e-02,2.872208878398e-02,-2.461535111070e-02
1.5659686098307425e+18,8.288644999266e-02,2.961543947458e-02,-2.006052434444e-02
1.5659686098508283e+18,8.709013462067e-02,3.023396804929e-02,-1.764331571758e-02
1.5659686098708849e+18,8.952781558037e-02,2.632972970605e-02,-1.746578142047e-02
1.5659686098934892e+18,8.876825869083e-02,2.158958837390e-02,-1.539774052799e-02
1.5659686099106186e+18,8.485174179077e-02,2.007568068802e-02,-1.472313515842e-02
1.5659686099306327e+18,8.131345361471e-02,2.017210423946e-02,-1.258866861463e-02
1.5659686099507558e+18,7.794930040836e-02,1.613884791732e-02,-1.057403907180e-02
1.5659686099706043e+18,7.673867046833e-02,1.071152091026e-02,-5.516350269318e-03
1.5659686099935148e+18,7.501088827848e-02,9.611375629902e-03,-2.158034592867e-03
1.565968610010921e+18,7.595229148865e-02,9.380202740431e-03,-1.506477594376e-03
1.565968610030605e+18,7.813681662083e-02,1.139986887574e-02,-4.297457635403e-03
1.565968610052329e+18,7.825633138418e-02,8.780207484961e-03,-3.536209464073e-03
1.5659686100706212e+18,7.721989601851e-02,5.871435627341e-03,-1.333121210337e-03
1.5659686100935437e+18,7.590039819479e-02,5.817890167236e-03,-1.377891749144e-03
1.565968610110616e+18,7.387186586857e-02,7.006881758571e-03,-2.323739230633e-03
1.5659686101306268e+18,7.439755648375e-02,5.672518163919e-03,-3.778636455536e-03
1.5659686101506045e+18,7.058624923229e-02,3.872260451317e-03,-3.429874777794e-03
1.5659686101706847e+18,6.732906401157e-02,2.834022045135e-03,-1.975297927856e-04
1.5659686101939804e+18,6.670534610748e-02,3.571247681975e-03,3.849692642689e-03
1.565968610210559e+18,6.601375341415e-02,4.273122176528e-03,6.833035498857e-03
1.5659686102306537e+18,6.525094062090e-02,7.226737216115e-03,7.425375282764e-03
1.5659686102513462e+18,6.229662522674e-02,8.310500532389e-03,8.534990251064e-03
1.5659686102739725e+18,6.018401682377e-02,8.833471685648e-03,9.896863251925e-03
1.5659686102934958e+18,5.922932922840e-02,8.980060927570e-03,1.262927055359e-02
1.5659686103106783e+18,5.952235683799e-02,7.788175716996e-03,1.461478509009e-02
1.565968610330608e+18,6.017708778381e-02,9.000169113278e-03,1.279293932021e-02
1.5659686103512323e+18,6.279796361923e-02,9.920896962285e-03,1.181437447667e-02
1.5659686103705697e+18,6.486143171787e-02,1.134644076228e-02,1.255129463971e-02
1.5659686103935043e+18,6.329329311848e-02,1.203632354736e-02,1.445383764803e-02
1.5659686104108452e+18,6.063879281282e-02,1.422958448529e-02,1.422503590584e-02
1.565968610431812e+18,5.974292755127e-02,1.311247423291e-02,1.362831145525e-02
1.5659686104507858e+18,5.725318193436e-02,1.369015499949e-02,1.593135856092e-02
1.56596861047103e+18,5.650665238500e-02,1.492517255247e-02,2.078212052584e-02
1.565968610494391e+18,5.500178784132e-02,1.717032119632e-02,1.782421208918e-02
1.5659686105105938e+18,5.461495369673e-02,1.694055274129e-02,1.479510311037e-02
1.5659686105306173e+18,5.610596388578e-02,1.648041419685e-02,1.378797460347e-02
1.5659686105525256e+18,5.683811753988e-02,1.476174127311e-02,1.257470995188e-02
1.5659686105706084e+18,5.646029114723e-02,1.434657815844e-02,1.163391862065e-02
1.5659686105935194e+18,5.496285483241e-02,1.442802511156e-02,1.190259680152e-02
1.565968610613688e+18,5.434724688530e-02,1.617664843798e-02,1.327520050108e-02
1.5659686106305687e+18,5.389846861362e-02,1.956177875400e-02,1.670750416815e-02
1.5659686106508157e+18,5.053827911615e-02,2.134595438838e-02,1.670739799738e-02
1.56596861067445e+18,4.536899179220e-02,1.902741752565e-02,1.315504405648e-02
1.5659686106934925e+18,4.390916973352e-02,1.809098012745e-02,8.973792195320e-03
1.5659686107106655e+18,4.475599527359e-02,1.513565611094e-02,9.771756827831e-03
1.5659686107310356e+18,4.525227472186e-02,1.219202205539e-02,1.129896193743e-02
1.5659686107507866e+18,4.382059723139e-02,1.032584533095e-02,1.078991778195e-02
1.565968610770693e+18,4.657851904631e-02,1.071454398334e-02,8.213741704822e-03
1.5659686107945743e+18,4.691747575998e-02,1.316205691546e-02,5.323554854840e-03
1.5659686108106214e+18,4.700165987015e-02,1.110793650150e-02,5.579479038715e-03
1.565968610830617e+18,4.836274683475e-02,8.567854762077e-03,3.426614915952e-03
1.565968610850801e+18,4.851723462343e-02,9.751348756254e-03,-1.944585237652e-03
1.565968610870758e+18,4.871471971273e-02,5.799775943160e-03,-2.383272396401e-03
1.5659686108935304e+18,5.302241817117e-02,1.364812254906e-03,1.098033739254e-03
1.565968610910608e+18,5.683264881372e-02,2.312547527254e-03,3.961622249335e-03
1.565968610931079e+18,6.086609140038e-02,3.890389576554e-03,2.494129817933e-03
1.565968610950617e+18,6.187386810780e-02,4.600709304214e-03,-1.372880069539e-03
1.5659686109706196e+18,6.379161030054e-02,4.899285733700e-03,-2.519133035094e-03
1.5659686109934958e+18,6.700896471739e-02,1.695855520666e-03,-1.141992979683e-03
1.565968611010929e+18,6.690251082182e-02,-3.675037063658e-03,1.487993285991e-03
1.5659686110305738e+18,6.759656220675e-02,-8.379775099456e-03,1.745223300532e-03
1.5659686110516436e+18,6.931520998478e-02,-8.079577237368e-03,3.736110171303e-03
1.5659686110706422e+18,6.940630078316e-02,-6.154824979603e-03,6.550239399076e-03
1.565968611093507e+18,6.827031821012e-02,-4.499210976064e-03,7.305721752346e-03
1.5659686111106388e+18,6.856863945723e-02,-4.696804098785e-03,6.126164924353e-03
1.56596861113068e+18,7.052827626467e-02,-5.329551175237e-03,9.314213879406e-03
1.5659686111505782e+18,7.003714144230e-02,-8.906904608011e-03,8.585719391704e-03
1.565968611170613e+18,6.932520866394e-02,-1.456668414176e-02,8.972746320069e-03
1.5659686111935004e+18,6.802296638489e-02,-1.983473077416e-02,6.599337793887e-03
1.5659686112136922e+18,6.019457429647e-02,-2.422625571489e-02,2.418724820018e-03
1.5659686112305782e+18,5.389195680618e-02,-2.702863886952e-02,7.711749523878e-03
1.5659686112508506e+18,4.933497309685e-02,-2.843551710248e-02,1.022898778319e-02
1.5659686112708675e+18,5.181925743818e-02,-3.008712641895e-02,8.819770067930e-03
1.5659686112935101e+18,5.594948306680e-02,-3.174264356494e-02,9.828834794462e-03
1.5659686113109514e+18,5.613376945257e-02,-3.172715008259e-02,1.225831266493e-02
1.565968611330662e+18,5.978985130787e-02,-3.397506475449e-02,1.509324368089e-02
1.5659686113508078e+18,5.771347507834e-02,-3.786485642195e-02,1.353883557022e-02
1.565968611370632e+18,5.625581368804e-02,-4.222907498479e-02,1.529200933874e-02
1.5659686113934984e+18,5.325311049819e-02,-4.439931362867e-02,1.634950935841e-02
1.5659686114108104e+18,4.772797599435e-02,-4.751202464104e-02,1.599511690438e-02
1.5659686114306988e+18,4.450315982103e-02,-5.012644454837e-02,1.703656464815e-02
1.565968611450803e+18,4.289982840419e-02,-5.014291778207e-02,1.826385781169e-02
1.5659686114706355e+18,4.071736335754e-02,-5.243016779423e-02,2.283606678247e-02
1.565968611493737e+18,4.080640524626e-02,-5.404066294432e-02,2.756576240063e-02
1.5659686115107292e+18,4.051972925663e-02,-5.693029984832e-02,2.621559612453e-02
1.5659686115306166e+18,4.302523285151e-02,-5.843111872673e-02,2.569922432303e-02
1.5659686115507325e+18,4.919876903296e-02,-5.741632729769e-02,2.343606203794e-02
1.5659686115705477e+18,4.887577891350e-02,-5.746556073427e-02,2.171727269888e-02
1.5659686115935165e+18,4.593769460917e-02,-5.999583005905e-02,2.271651104093e-02
1.565968611610551e+18,4.088688641787e-02,-6.026966497302e-02,2.421280927956e-02
1.5659686116306445e+18,3.362298384309e-02,-6.057006865740e-02,3.167108446360e-02
1.5659686116508398e+18,2.875339612365e-02,-6.359469890594e-02,3.462895378470e-02
1.56596861167063e+18,2.545241080225e-02,-6.623803824186e-02,3.649740666151e-02
1.5659686116935355e+18,2.292810752988e-02,-6.859204173088e-02,3.726801276207e-02
