Timestamp, vel x, vel y, vel z
1.6046097448892355e+18,8.303228020668e-02,-1.176657900214e-01,-2.970546670258e-02
1.6046097449091343e+18,8.171346783638e-02,-1.188075989485e-01,-2.801955305040e-02
1.6046097449298916e+18,7.954913377762e-02,-1.211480349302e-01,-2.689148858190e-02
1.6046097449494405e+18,7.630103826523e-02,-1.212565898895e-01,-2.619152143598e-02
1.6046097449693847e+18,7.198242843151e-02,-1.237594708800e-01,-2.563455700874e-02
1.6046097449892193e+18,7.019282877445e-02,-1.264752745628e-01,-2.372146956623e-02
1.6046097450292598e+18,6.744787096977e-02,-1.340218037367e-01,-1.915786415339e-02
1.6046097450900634e+18,5.679139494896e-02,-1.312197148800e-01,-1.314992830157e-02
1.6046097451498337e+18,4.752864688635e-02,-1.296578347683e-01,-7.802465930581e-03
1.6046097451695386e+18,4.676110297441e-02,-1.289649307728e-01,-6.267370656133e-03
1.6046097452092306e+18,4.347812384367e-02,-1.258090734482e-01,-3.884801641107e-03
1.604609745270173e+18,4.219604283571e-02,-1.279058158398e-01,1.447887159884e-03
1.604609745349903e+18,3.358995169401e-02,-1.260163635015e-01,5.791127681732e-03
1.604609745389307e+18,2.717311680317e-02,-1.272572875023e-01,4.609044641256e-03
1.6046097455897608e+18,4.229061305523e-03,-1.245233863592e-01,-2.450328785926e-03
1.604609745677772e+18,3.759816288948e-03,-1.165050044656e-01,-6.362868938595e-03
1.6046097458093235e+18,5.236037075520e-03,-1.018660217524e-01,-1.794693619013e-02
1.6046097458293844e+18,4.634138196707e-03,-1.007090881467e-01,-1.800854504108e-02
1.6046097458543777e+18,5.116466432810e-03,-9.843987971544e-02,-1.745716854930e-02
1.604609745869224e+18,3.115098923445e-03,-9.728589653969e-02,-1.788900792599e-02
1.604609745889806e+18,1.921981573105e-03,-9.662088751793e-02,-1.795734465122e-02
1.604609745910084e+18,9.971931576729e-04,-9.560593217611e-02,-1.700740680099e-02
1.604609745930046e+18,4.976987838745e-05,-9.475006908178e-02,-1.637898571789e-02
1.6046097459492626e+18,-3.436058759689e-04,-9.365179389715e-02,-1.471802126616e-02
1.6046097459692541e+18,-2.755682915449e-03,-8.906583487988e-02,-1.426888257265e-02
1.604609745989038e+18,-5.298167467117e-03,-8.429083228111e-02,-1.672689244151e-02
1.6046097460091456e+18,-6.093975156546e-03,-8.217655867338e-02,-1.895080693066e-02
1.6046097460291297e+18,-7.029045373201e-03,-8.391778916121e-02,-1.884116046131e-02
1.6046097460520358e+18,-8.050303906202e-03,-8.547370880842e-02,-1.807983219624e-02
1.6046097460690975e+18,-8.710794150829e-03,-8.341623097658e-02,-1.748982258141e-02
1.604609746090862e+18,-6.575454026461e-03,-8.222907036543e-02,-1.998293772340e-02
1.6046097461103708e+18,-3.499433398247e-03,-8.035111427307e-02,-2.020703442395e-02
1.6046097461304394e+18,-2.695009112358e-03,-7.680895179510e-02,-2.093213237822e-02
1.6046097461507003e+18,-3.973115235567e-03,-7.464065402746e-02,-2.011777088046e-02
1.6046097461692424e+18,-2.210132777691e-03,-7.322667539120e-02,-2.155637182295e-02
1.6046097461893432e+18,-1.581892371178e-03,-7.215820252895e-02,-2.315701171756e-02
1.6046097462091804e+18,-8.912906050682e-04,-7.094349712133e-02,-2.317562326789e-02
1.6046097462292165e+18,3.635503351688e-03,-6.957317888737e-02,-2.346782386303e-02
1.6046097462518912e+18,5.347143858671e-03,-6.948748230934e-02,-2.529130317271e-02
1.6046097462693133e+18,2.638902515173e-03,-6.834013760090e-02,-2.755534462631e-02
1.6046097462891779e+18,7.112883031368e-04,-6.903073936701e-02,-2.874561771750e-02
1.6046097463124017e+18,2.651982009411e-03,-6.930984556675e-02,-2.911806851625e-02
1.6046097463299448e+18,7.388878613710e-03,-6.776256114244e-02,-2.805340662599e-02
1.6046097463491786e+18,1.094313524663e-02,-6.676790118217e-02,-2.639937773347e-02
1.604609746372731e+18,1.538628526032e-02,-6.647819280624e-02,-2.740766480565e-02
1.6046097463892285e+18,1.885880902410e-02,-6.090513244271e-02,-3.167708218098e-02
1.6046097464097728e+18,1.679460518062e-02,-5.815652012825e-02,-3.029987588525e-02
1.6046097464292946e+18,1.411469280720e-02,-5.993237346411e-02,-2.974198572338e-02
1.6046097464520207e+18,1.562492735684e-02,-6.285864114761e-02,-2.753906324506e-02
1.6046097464690086e+18,1.686933450401e-02,-6.304821372032e-02,-2.419523335993e-02
1.6046097464893693e+18,1.724071055651e-02,-5.979866534472e-02,-2.023453637958e-02
1.604609746509835e+18,1.674124784768e-02,-5.970619618893e-02,-1.669209450483e-02
1.6046097465299948e+18,1.548236981034e-02,-6.083727627993e-02,-1.256831549108e-02
1.6046097465498737e+18,1.876015588641e-02,-5.894025415182e-02,-8.710836991668e-03
1.6046097465691213e+18,2.194722741842e-02,-5.680502951145e-02,-5.661850795150e-03
1.604609746589966e+18,2.184633910656e-02,-5.818510800600e-02,-4.669897258282e-03
1.6046097466099072e+18,1.877636834979e-02,-5.811756476760e-02,-5.768219009042e-03
1.6046097466293258e+18,1.527002453804e-02,-5.824234336615e-02,-3.923365846276e-03
1.6046097466524232e+18,1.505640149117e-02,-6.192663684487e-02,8.520185947418e-04
1.6046097466690614e+18,1.527541503310e-02,-6.306204199791e-02,2.911232411861e-03
1.6046097466892457e+18,1.478752121329e-02,-6.363337486982e-02,4.798494279385e-03
1.6046097467127173e+18,1.569702662528e-02,-6.209027767181e-02,6.049327552319e-03
1.6046097467301548e+18,1.311444491148e-02,-6.165751814842e-02,6.900647655129e-03
1.6046097467499023e+18,8.918587118387e-03,-6.145767495036e-02,6.089525297284e-03
1.6046097467698557e+18,5.304399877787e-03,-6.186627596617e-02,5.080919712782e-03
1.6046097467899812e+18,4.808004945517e-03,-6.054598093033e-02,2.742346376181e-03
1.6046097468091587e+18,3.247827291489e-03,-5.973142012954e-02,-6.758626550436e-04
1.6046097468314314e+18,3.102403134108e-03,-6.171732395887e-02,-1.372946426272e-03
1.604609746851959e+18,8.547119796276e-04,-6.499614566565e-02,-1.640820875764e-03
1.6046097468697475e+18,-1.670148223639e-03,-6.897559762001e-02,-1.047093421221e-03
1.6046097468917115e+18,-5.471173673868e-03,-7.005327939987e-02,-2.394676208496e-03
1.604609746909924e+18,-7.750853896141e-03,-6.994972378016e-02,-4.086518660188e-03
1.6046097469299932e+18,-6.508238613605e-03,-7.149884104729e-02,-3.555482253432e-03
1.6046097469517868e+18,-6.956487894058e-03,-7.524442672729e-02,-3.391558304429e-03
1.6046097469691538e+18,-8.135251700878e-03,-8.034040033817e-02,-2.133121713996e-03
1.604609746990559e+18,-9.025167673826e-03,-8.387236297131e-02,-1.917326822877e-03
1.6046097470090936e+18,-6.741058081388e-03,-8.698279410601e-02,-7.321629673243e-04
1.604609747029145e+18,-4.197096452117e-03,-8.673568069935e-02,-2.402706071734e-03
1.6046097470519544e+18,-2.564419060946e-03,-8.660718798637e-02,-4.630431532860e-03
1.6046097470690488e+18,-2.974478527904e-03,-8.809633553028e-02,-4.594342783093e-03
1.6046097470898284e+18,-5.868729203939e-03,-8.944544196129e-02,-4.095464944839e-03
1.6046097471098422e+18,-8.477481082082e-03,-9.080946445465e-02,-3.437060862780e-03
1.604609747129896e+18,-1.013641618192e-02,-9.720363467932e-02,-1.505333930254e-03
1.6046097471491008e+18,-1.090938597918e-02,-1.010873839259e-01,6.560366600752e-04
1.6046097471691412e+18,-1.105058565736e-02,-1.022973656654e-01,-5.097761750221e-04
1.604609747193991e+18,-9.382801130414e-03,-1.020465344191e-01,-1.792183145881e-03
1.604609747209633e+18,-1.130012050271e-02,-9.992022812366e-02,-1.962240785360e-03
1.6046097472291638e+18,-1.386185549200e-02,-1.004997044802e-01,-2.162881195545e-03
1.6046097472518822e+18,-1.437709107995e-02,-9.930578619242e-02,-2.201376482844e-03
1.6046097472690757e+18,-1.630511879921e-02,-9.911577403545e-02,-1.714646816254e-03
1.6046097472891315e+18,-1.807434484363e-02,-9.915123879910e-02,-2.742946147919e-03
1.6046097473104855e+18,-2.137178555131e-02,-1.016429066658e-01,-3.308814018965e-03
1.6046097473300145e+18,-2.220797725022e-02,-1.051554530859e-01,-3.229951485991e-03
1.6046097473499512e+18,-1.905521564186e-02,-1.076523214579e-01,-5.972590297461e-04
1.6046097473697e+18,-1.921674609184e-02,-1.060618385673e-01,1.537211239338e-03
1.6046097473891133e+18,-1.903683878481e-02,-1.015952602029e-01,2.995481714606e-03
1.6046097474092155e+18,-1.879330724478e-02,-9.889470040798e-02,4.276698455215e-03
1.6046097474290388e+18,-2.059313841164e-02,-9.485326707363e-02,6.990982219577e-03
1.604609747457864e+18,-2.184301614761e-02,-9.619992971420e-02,6.992092356086e-03
1.6046097474691213e+18,-2.342867106199e-02,-9.699286520481e-02,5.205675959587e-03
1.6046097474890486e+18,-2.296127006412e-02,-9.801109135151e-02,4.501970484853e-03
1.604609747511068e+18,-2.035392448306e-02,-9.819726645947e-02,2.287168055773e-03
1.6046097475302536e+18,-1.870748773217e-02,-9.802390635014e-02,1.398162916303e-03
1.6046097475498473e+18,-1.830959506333e-02,-9.529154002666e-02,-6.596185266972e-05
1.6046097475690596e+18,-2.020120806992e-02,-8.993679285049e-02,-4.030838608742e-04
1.6046097475891213e+18,-2.135298028588e-02,-8.776941895485e-02,-1.405943185091e-03
1.6046097476290557e+18,-2.254402451217e-02,-8.146804571152e-02,-3.023598343134e-03
1.6046097476545638e+18,-2.196382172406e-02,-7.763638347387e-02,-2.928999252617e-03
1.6046097476697597e+18,-2.365292608738e-02,-7.672710716724e-02,-3.411054611206e-03
1.6046097476897882e+18,-2.587281726301e-02,-7.787722349167e-02,-4.656793549657e-03
1.6046097477098163e+18,-2.528602443635e-02,-7.884159684181e-02,-5.414078943431e-03
1.6046097477301138e+18,-2.246421203017e-02,-7.789828628302e-02,-4.922920837998e-03
1.6046097477498092e+18,-2.030122093856e-02,-7.626779377460e-02,-2.037703990936e-03
1.6046097477702986e+18,-2.253792993724e-02,-7.311037927866e-02,-4.281233996153e-04
1.6046097477894948e+18,-2.483153715730e-02,-6.536242365837e-02,-1.108059659600e-03
1.604609747809065e+18,-2.443298883736e-02,-5.948140844703e-02,-3.785045817494e-03
1.604609747829791e+18,-2.231230214238e-02,-5.586468428373e-02,-5.775360390544e-03
1.604609747852129e+18,-1.839042082429e-02,-5.465684458613e-02,-5.373984575272e-03
